"score","text","klasifikasi"
0,"harga cabai","Netral"
-1,"alghozali impor negri harga negri anjlok dibeli ditahan dilepas harga menggila cabai skrng","Negatif"
0,"harga cabe besok turun","Netral"
0,"harga cabai keriting rawit pasaman jelang ramadan","Netral"
0,"alchamdulilah harga cabai pasar tanjung turun","Netral"
-1,"terpujilah pelit sambel balado harga cabe ngotak harga makanannya","Negatif"
0,"nonton tv berita headline harga cabai petani beli mobil kesannya sirik kuntul petani beli lambo emang rezeki berita tv nasional","Netral"
-1,"video harga daging sapi harga cabai bergerak turun","Negatif"
1,"followers turun kaya harga cabe","Positif"
0,"harga cabe","Netral"
0,"harga cabai rawit merah baturaja tembus rp kg harga cabai rawit merah pasar tradisional baturaja kabupaten ogan komering ulu sumatera selatan menjelang ramadan melonjak tajam menembus angka rp kilogram kg","Netral"
0,"menteri perdagangan sibuk rencana impor beras juta ton harga lada tembus rp cabe","Netral"
-1,"negeri demam harga mbako berbondongbondong menanam tembakau harga cabai berduyunduyun menanam cabai nasib pelaku bahas demam lik bkan bahas saplai deman kebutuhan luas lahan makelar dan lain-lain oya demam korea padal pria korea tytyde cilik pendek","Negatif"
1,"harga cabai petani cabai beli mobil aduh pemasukannya stabil","Positif"
-1,"sok jual mahal banget mentang harga cabe","Negatif"
0,"wahh salah berkah tukang makanan harga cabe","Netral"
0,"istriku khawatir galau tarif listrik bbm pajak kendaraan harga cabai meroket kebutuhan pokok percayalah suamimu menjamin uang belanjamu ikutikutan yakinlah","Netral"
-2,"harga daging sapi pasar mencapai rp ribu perkilogram harga kebutuhan pokok cabai rawit merah mengalami penurunan video harga daging sapi harga cabai bergerak turun","Negatif"
0,"trans jelang ramadhan harga sembilan bahan pokok melonjak daging sapi cabai merah","Netral"
0,"jelang ramadhan harga sembilan bahan pokok melonjak daging sapi cabai merah","Netral"
0,"bukaaa emg libur seminggu grgr harga cabe","Netral"
0,"harga cabe","Netral"
-1,"mitos harga cabe mahal cabe sebiji doang pedes banget pas turun murah pakai biji masak","Negatif"
0,"harga ayam broiler cabe rawit merah sebulan turun","Netral"
0,"banget harga cabe muuciw pepes ikan","Netral"
0,"terpikirkan dikorea harga cabe pasar beli reb biji doang","Netral"
-1,"singkat cerita twitnya sambel nyamber nawarin sambel Cuma miscall dapur fany berminat harga cabe menyesuaikan pas transaksi barter","Negatif"
-2,"haye emak tamatan sd cuap protes harga cabe kritikannya relevan kebijakan harga pemerintah cuap ngalor ngidul hubungannya hantam cuap","Negatif"
0,"harga cabe mahal tempe beli daun bawang dikasih tangkai","Netral"
0,"tipis harga cabai merah agam","Netral"
-1,"pas banget sembilan bahan pokok habis minyak goreng tetes gula garam kopi sabun mandi dan lain-lain habis pas banget lebihnya sembilan bahan pokok dan lain-lain serba pas ngirit cabe mahal pdhal puasa harga","Negatif"
0,"bahas harga cabe","Netral"
-1,"sii emakemak pakk marah harga cabe pedang","Negatif"
0,"btul grgr harga cabe puasa ck","Netral"
1,"harga emas harga cabe harga doang turun","Positif"
0,"ngerasain harga cabai","Netral"
1,"harga cabe lumayan duit jajan","Positif"
0,"harga cabe tauuu abby","Netral"
0,"harga pc yampun harga cabe","Netral"
0,"pekan menjelang masuknya puasa harga cabai rawit merah merangkak","Netral"
0,"harga cabai rawit merah akibat stoknya terbatas","Netral"
0,"harga cabe","Netral"
-1,"harga beras bhn pokok ttp stabil hrg beras melambung demo dimanabeda petani cabe hrg perkilonya protes mbuhlah pusing","Negatif"
0,"harga cabai mei","Netral"
0,"pasaraan harga cabe ughtea gasuka pedes doang bib","Netral"
-1,"harga cabe salah superm","Negatif"
0,"harga cabai diprediksi jelang lebaran","Netral"
0,"pasar kaget harga cabe tanggung","Netral"
0,"sir harga cabe","Netral"
0,"harga cabe harga turun","Netral"
0,"harga cabe seons","Netral"
0,"harga cabai merah cabai merah keriting turun kobar","Netral"
1,"harga cabe sekarangsekarang jualan ganyampur sambelnya bon cabe saos salut banget pokonya","Positif"
0,"harga cabai rawit pasar tradisional kota surakarta turun inidari rupiah kilogramnya kilogramnya harga cabai rawit ramadhan lebaran","Netral"
0,"harga cabe dijadiin topik","Netral"
0,"mie abang harga cabe cabenya dikurangin harganya dinaikin","Netral"
0,"bbm harga penyesuaian harga cabe dan kawan-kawan","Netral"
0,"kaum rebahan kurangi makan sambal harga cabe","Netral"
0,"harga cabai nemuin mainan","Netral"
0,"siapsiap inget harga cabe","Netral"
0,"didiek selagi sebentar musim mudik tarif tes gnose dinaikin selagi harga cabe implementasi konsep costumer centriknya","Netral"
0,"panen disaat harga cabai","Netral"
0,"tolong harga sembilan bahan pokok pasar kendalikancabe daging menjelang puasa ramadhan","Netral"
0,"umur tementemenku mantengin turun harga cabe mantengin renjun spill warna rambutnya","Netral"
0,"harga cabai merangkaknaik","Netral"
0,"agus susilo ketua dpw ikatan pedagangpasartradisional ikappi jatim harga cabai merangkak diklaim panen harga turun panas","Netral"
0,"stress harga cabe bbrp makan sambel","Netral"
-1,"harga cabe iblis gacoan level pedes","Negatif"
0,"pusing banget mikir harga cabe turun lebih baik murah modalnya dikit","Netral"
1,"harga beras dipasaran harga cabe stoknya berlimpah","Positif"
0,"harga kertas harga cabai harga kopi rokok ambyar","Netral"
-1,"disperindag siuman rakyat teriak teriak cabai tempe naiknaik harusnyasewaktu harga normal antisipasi minumair putihcek pasar cek lapangan investigasi teori","Negatif"
-2,"kadang kangen gatau politik esensi pemilu gatau kepentingan tersembunyi kebijakan porsi nasi warung makan berkurang harganya harga beras cabe langkaatau biaya listrik","Negatif"
-1,"emak emak ngamuknya bulanharga cabe ngamuk rakyat harga cabe turun ngamuk kasihan petani","Negatif"
1,"cabai harga makanan","Positif"
3,"selamat yahanda kaya hadiah pemerintahharga cabe","Positif"
-1,"harga cabai menurun perlahanlahan","Negatif"
-1,"isu bergulir panen berlaludisini selesai harga ganah dibawah kkg baca tweet bpknya harga cabe bpknya disalahkan cabe demand ttp stock tipis gabah demand ttp stock overloadisu impormodar harga anjlok","Negatif"
1,"harga cabe naiknaik kepuncak gunung merah cabenya drw harga tetep ramah dikantong merahnya dipake berbulanbulan","Positif"
1,"menteri harga cabe dikawal produk hasil tani indonesia seimbanganda terobosan monggo analisis negeri globalfakta lapangan biaya pengolahan pertanian mahalmbok mengawasi","Positif"
0,"harga cabe ayam geprek sambelnya semana","Netral"
-1,"pantesan pesen seblak andalan level ibunya ketus lvl sadar harga cabe","Negatif"
0,"harga cabai pasaran mendag lutfi harga cabai disalahkan","Netral"
0,"siang bareng jam ikutan teman hot tanggapan harga cabe mengganggu usaha pengaruh cerita","Netral"
0,"harga cabe","Netral"
0,"harga cabe sii beli geprek skrng gabisa cabe minimal","Netral"
0,"indonesia hadapkan permasalahan sebabkan pandemi covid kelar hadapkan kenaikan harga komoditi pangan merangkak cabai rawit merah bawang merah","Netral"
0,"beneran kemarin pas pulang papah cerita adik mamah beli cabe ribu dapetnya sekepel dalem hati tumben tumbenan merhatiin harga boong pinter masak","Netral"
0,"keresahan bukibuk harga cabai bawang sayursayuran melonjak","Netral"
0,"didu antisipasi harga gas cabai dirumah tungku cor tanam cabai","Netral"
1,"jelang puasa ramadhan harga kebutuhan pokok cenderung cabe ayam garam berasm baca ulasannya koran sindo pagi informasi terbaru sindonews","Positif"
0,"harga turun harga cabe","Netral"
-2,"harga cabe faktor cuaca hujan cabe busuk pohonnya panennya berkurang harga diperhatiin cabe musim ujan musim kemarau harganya turun stok bnyak","Negatif"
1,"lumayan harga cabe","Positif"
-2,"tanaman cabai petani rusak gagal panen penyebab harga cabai","Negatif"
0,"tolong inimah turunin harga cabean flissss ayam penyet langganan harga hfttt","Netral"
0,"harga cabe harga turun","Netral"
0,"cabai rawit bertahan rp ribu harga cabai beranjak","Netral"
0,"stress harga pc ngikutin harga cabe","Netral"
0,"harga disalahkan harga cabe","Netral"
-1,"posisi dimana harga cabe turun skrng ditambah minyak goreng merambah","Negatif"
0,"harga cabe ep","Netral"
0,"harga cabe pedes kebanyakan begadang","Netral"
-1,"harga sembilan bahan pokok harga cabai rakyat menjerit menterinya presiden jokowi harga terkendali hebatnya kabinet kerjanya jokowi","Negatif"
0,"cabe harga pc","Netral"
1,"harga cabai rawit kabupaten situbondo jawa timur melonjak harga cabai melambung rp rp kilogram","Positif"
0,"harga cabai merah pagi irwandi mencapai rp kg sabtu kemarin kisaran rp kg","Netral"
-1,"asam lambung banget harga cabe","Negatif"
0,"harga cabe didiek gus","Netral"
0,"harga cabai bu","Netral"
-1,"bibit cabe harga cabe panik","Negatif"
0,"harga cabai rawit merah meroket diprediksikan mendekati ramadan","Netral"
-1,"pusing banget harga cabai sampaisampai trend berita","Negatif"
1,"harga cabai melambung sortiran laris manis pasaran","Positif"
1,"harga emas harga cabe harga doang","Positif"
-1,"sedih harga cabe fess","Negatif"
-1,"porsi sayuran lengkap peyek bumbu kacangnya sepedas beli faktor harga cabe","Negatif"
-1,"hassan limpo memprediksi harga cabai pasaran ramadhan angka april indonesia musim panas jelang lebaran pandemi permintaan cabai cenderung turun","Negatif"
-1,"dampak harga cabai warung makan sumedang menjerit","Negatif"
0,"harga cabe kandungan cabe bon cabe dikurangin harga bon cabe ttp","Netral"
0,"harga cabe harga bon cabe ikutan","Netral"
0,"bahas harga cabe","Netral"
-1,"pusing banget harga cabe selera memasak","Negatif"
-3,"harga cabe drastis warung geprek jenis pakai level pedas pusing ayam tohjoyo sambelnya manis pusing","Negatif"
0,"dibilang haji belanja mbak harga tukang cabe dikatain jual dikit banget bang keliling dunia disamping mbanya blng murah nanem mbak","Netral"
-1,"menteri pertanian mentan syahrul yasin limpo bicara bahan pangan jelang ramadhan mentan menyinggung harga cabai imbas curah hujan","Negatif"
0,"translate jurnal bahasa inggris bahasa indonesia tarif murah halaman hehehehe jasa ketik jaman kuliah halaman harga cabe tolong gengs","Netral"
0,"tersenyumlah harga cabe amer ingatlah tua mu","Netral"
0,"cinta ukur pap gila harga cabe rawit","Netral"
0,"dips gacoan lv sepedes grgr harga cabe","Netral"
0,"emang harga cabe kemarin beli biji","Netral"
-1,"harga cabe masak cabe anjing","Negatif"
-2,"mamak ngeluh harga cabe tanam mamak menanam cabe rumah orangtua mamak anak menanam bandel banget logika taiii sumpah","Negatif"
1,"kemendag cari terobosan atasi harga cabai","Positif"
0,"cabai gabah turun fluktuasi harga musim kaum tehnik melek","Netral"
0,"bahas harga cabe","Netral"
0,"portal harga cabai merah dki jakarta rabu rp kg kamis rp kg","Netral"
0,"portal harga cabai merah dki jakarta rabu rp kg kamis rp kg","Netral"
0,"semenjak harga cabe sambel enek sng pedes","Netral"
0,"meanwhile harga cabe rawit januari harga normal kisaran rbkg langkah apapun kabar pedagang ayam geprek sambelsambelan","Netral"
-1,"barangnya langka cuacanya hujan kebun kebunnya susah produksi cabe barang otomatis harga cabenya prinsip ekonomi","Negatif"
0,"harga cabai turun panen raya","Netral"
0,"lxlc newkobochan harga tipis uda cabe","Netral"
0,"id harga cabai mendag impor","Netral"
0,"jelang ramadhan harga cabai kota yogyakarta ikuti berita terkini situs","Netral"
0,"akibat harga cabe ayam geprek asalnya cabenya nambah harganya nambah","Netral"
0,"harga cabe","Netral"
2,"suci ramadhan sebentar harga gula beras cabai garam lipat semoga rezeki melimpah allah swt kesehatan menjalankan ibadah puasa sebaikbaiknya aamiin","Positif"
-1,"mamang seblak maaf cabe mahal ribu perkilo bangkrut sewajarnya bayar tidak apa-apa cabe drastis harganya rbu perkilo rbu rbu mencapai harga rbu perkilogramnya","Negatif"
-1,"kemarin makan sate sambas bingung sepedes inget harga cabe","Negatif"
1,"harga cabe lebih baik makan ndok kecap","Positif"
0,"harga cabecabean ikutan","Netral"
0,"harga cabe bawangan siah unn","Netral"
2,"petani cabai untung bangsa pilih kasih harga emas dolar melambung diem giliran cabai hasil pertanian ribut","Positif"
-2,"didu harga cabe petani malas tanam cabe musim bersahabatlantas pejabat kebakran jenggotemang petani harga budaya petani itunrimo pandum hrg gabah turun panen protes demo ngertiin","Negatif"
0,"harga cabai rawit diskoperindag prediksi harga jelang ramadhan","Netral"
0,"kemarin minum berhubung harga cabai minum yakult","Netral"
2,"cantik angka fllowers kaya harga cabe turun","Positif"
-2,"cabe musim hujan ancuran petani gagal panendipasar harga selangit paradoks mbieb harga petani tetep merana skema arau model pertanian cabe tahan hujan josssss","Negatif"
0,"pas beli ayam harga turun geser warung beli cabe harga","Netral"
0,"soeharto netklu cabe harga meja pohon cabekok beda","Netral"
-1,"buibu harga cabe mamang sayur gagal buka pepes akoh","Negatif"
-1,"bangkee cabe rawit merah kg harga gila","Negatif"
0,"maaf presidentolong pantau harga kebutuhan cenderung cabai daging ayam","Netral"
0,"keresahan pagi harga cabe ditambah harga ayam daging sapi menjelang puasa hhmm","Netral"
0,"ngingetin harga cabai birahiku","Netral"
-2,"garam harga naiknya harga cabe kelaparan menimbulkan huru hara negara dikelilingi laut menjemur air laut garam impor kewarasan","Negatif"
0,"harga cabai kendari persen","Netral"
0,"semenjak harga cabe bakmi merica","Netral"
3,"oke terima kasih pengetahuannya ndra cabainaikdibulanramadhan","Positif"
-1,"harga cabe cabe cabean pedas harga","Negatif"
3,"terimakasih cerdas rajin membaca petani sukses panen hasilnya melimpah ruah cabe pakai impor sukses panen harganya turun gagal harga percayalah fafifu berpengaruh kmi petani","Positif"
-1,"harga cabai tasikmalaya gagal panen viva","Negatif"
-1,"harga cabai tasikmalaya gagal panen viva","Negatif"
0,"harga ayam cabe mahal bawang merah mahal bawang putih apanya terkendali terkendali mahalnya rakyatmu kon meneh rego opo larang nyambut angel","Netral"
0,"ngomong-ngomong harga cabe disana","Netral"
-1,"harga cabai tasikmalaya gagal panen","Negatif"
0,"efek harga cabe makan bakwan gadapet cabe","Netral"
-2,"aruna tidur ale aya tidur coba harga cabe aruna adek demam gara bukn es ampun yongi marahin","Negatif"
-1,"hargaharga jelang lebaran cabek pasar rbkg masakan minahasa gabisa lepas cabecabean minggu penyesuaian harga dapur oma taty insya allah kualitas menurun","Negatif"
0,"alasan impor bahan pangan hasil produksi harganya impor cabe harga mahal banget sah makan gada sambel","Netral"
0,"pagi harga cabe harga saos","Netral"
-2,"kondisi konsumen resah harga cabai melambung cuaca buruk melanda kawasan penghasil cabai","Negatif"
0,"kemarin tempe telor besok buibu harga telor harga cabe mahal gini warga ponpel makan aldebaran","Netral"
0,"sthd harga cabe melulu wonpil kang sayur","Netral"
-2,"kadang protes harga cabe bawang beras keras usaha uang keluarin nyalahin mahal banget salahin tengkulak","Negatif"
2,"daerah harga cabe stabil tolong import pecinta makanan pedaskondisi harga cabe sungguh menyiksa khilaf mengambil cabe kulkas konsekuensinya suka dikasih amanat upacara","Positif"
0,"siapsiap besok harga telor semoga besokbesok cabe muncul ic harga cabe mahal","Netral"
-1,"harga daging ayam ras cabai bergerak makassar","Negatif"
1,"kementankomunikasinya percepat stok harga aman terkendali bukti tempe cabai harga","Positif"
-1,"mengerti knapa nyinyir pdhal bulog ngelakuin gini harga beras indo harga cabe ekstrim turunnya","Negatif"
0,"harga kebutuhan pokok minyak terigu daging cabe rumah toko dipasar sebulan kemarin harganya lumayan murah","Netral"
-1,"gila harga cabe serasa haji","Negatif"
0,"harga lotek cabai","Netral"
-1,"topik teman rl membicarakan harga cabe membicarakan harga pc melulu solusi teman rl menanam cabe rumah tanem duit pohon duit","Negatif"
0,"harga cabai impor sindonews","Netral"
0,"harga cabai impor sindonews","Netral"
1,"langkah menjaga stabilitas pangan malam beli anak ayam kampung rencananya pelihara menanam sayuran cabai sebentar ramadhan harga bahan pokok","Positif"
0,"harga cabai gaduh harga turun diam basa mahal dikit petani sejahtera","Netral"
3,"harga cabe kaya makan makanan potongan cabenya abisin makan emas alias mahal banget","Positif"
0,"tulis cabe rawit harga sebentar puasalebaran realistis","Netral"
-1,"garagara gagal panen harga cabai rawit persen","Negatif"
-1,"garagara gagal panen harga cabai rawit persen","Negatif"
-1,"garagara gagal panen harga cabai rawit persen","Negatif"
-1,"harga cabai rawit persen garagara gagal panen","Negatif"
-1,"harga cabai rawit persen garagara gagal panen","Negatif"
0,"ramadhan normalnya harga harga cabe bawang daging sapi ayam potong telur","Netral"
2,"ilangin makan sambel postinganmu makanan bersambal dampaknya garagara el suka sambal harga cabe meroket","Positif"
1,"harga cabai bali paska nyepi tinggiharga jual eceran cabai rawit pasar tradisional bali kabarkan merangkak menembus angka rp kiloselama pasokan cabai rawit bali berasal daerah jawa timur","Positif"
0,"mendag biang keladi harga cabai merah double digit","Netral"
1,"setuju ngomong-ngomong beli ketoprak cabe kemarin jual charge harga cabe seribu perbiji","Positif"
0,"nyawa turun cem harga cabe","Netral"
0,"harga cabai kobar","Netral"
-2,"dimarahin ibuk ambil sambel takut asam lambung ku harga cabe mahal","Negatif"
0,"harga cabe puasa keikhlasannya hahaha","Netral"
-1,"harga cabe disertai komoditi ampun ngurusi amien rais wae","Negatif"
-2,"muhammad lutfi harga cabai rawit merah digit persen maret dibandingkan februari salah satunya akibat kerusakan panen","Negatif"
1,"trend harga cabe mbesok warung makan langganan jualan cabe condiment gratis oteote","Positif"
0,"mudahmudahan sekedar janji puasa lebaran harga sembilan bahan pokok daging cabe rawit harga selangit kasihan semoga ditindaklanjuti dilapangan","Netral"
-2,"marah harga cabe marah harga lampu","Negatif"
0,"harga cabai rawit merangkak menjelang ramadhan harga cabai rawit merah rp kilo cabai rawit hijau rp kilo","Netral"
0,"didu pantesan harga cabe gilagilaan","Netral"
0,"harga cabe gowa rp kg inipenyebabnya","Netral"
0,"cabe harga ayam geprek","Netral"
0,"tempe cabe harga property ikutan hidup komedi job lawak sepi dapur tetep ngebul salesman","Netral"
1,"wadu lumayan cabe skg harga btr puasa ngasal berbuah dicabut seakar","Positif"
0,"inget hri beli cabe pasar beli emg pakai kebuang terpikirkan harga cabe banget disinisin sm jual wkwkwkwkwk pemilik perkebunan cabecabean","Netral"
0,"maharan import cabe sebenernya akal indonesia cabe komoditas pertanian panen harga anjloknya","Netral"
0,"harga cabai lagiiii anjyrrr","Netral"
0,"jelang ramadhan harga komoditi pangan naiksebut cabai rawit telur ayam komoditi pangan lainnyadi solo harga telur ayam turun rupiah kilogramnya harga telur khawatirkan","Netral"
1,"baca twt kakak gapapa daging mahal cabe cabe harganya melebihi harga daging kaum kuat cabe menangis","Positif"
0,"maaf stres harga cabe","Netral"
0,"sabi jogja semenjak harga cabe gacoan lv pedes alig ukuranku dahal nyampe lv","Netral"
-1,"ngatain cwe matre milih calon suami mapan lelaki turunnya harga cabe ngatur duit dapur bau masakan cwe bucinklo milih cwo gg penuhin kbtuhan adik nyesel","Negatif"
0,"harga cabe","Netral"
2,"kuat level hidup harga cabe anak perempuan kuadd semangat sayang","Positif"
0,"harga cabe","Netral"
0,"kementan tegaskan impor harga cabai","Netral"
0,"harga cabe","Netral"
0,"efek harga cabe jatah sambel resto dikurangi banget wadaw","Netral"
-1,"sedihnya harga cabai beli ayam geprek charge lebihan cabainya","Negatif"
0,"harga cabe","Netral"
0,"harga cabe cabe rawit merah rbkg cabe keriting rbkg","Netral"
0,"harga cabe kennn beli level berasa level","Netral"
1,"beli harga dijamin ramadhan fundamental bagus","Positif"
0,"anyaa ngobrolin harga cabe utang negara","Netral"
0,"harga cabe sambel ayam geprek berubah","Netral"
0,"harga cabai mahar jngan","Netral"
0,"harga cabai diprediksi ramadhan","Netral"
0,"cabe harga buset emosi","Netral"
0,"harga cabai diprediksi ramadhan","Netral"
0,"harga cabai pasar tembus rp ribu","Netral"
-2,"ramai cebe lantaran cabe rawit tembus rp kg tangerang tomat mardekadotcom kemarin harga cabe bingung sebagai berikut harga cabe ttak merata dimedan cabe merah kkg rawit kkg kampung kkg","Negatif"
-1,"malam sedih harga cabe","Negatif"
0,"harga cabe dikit mikir banget hiperinflasi garagara utang negara kayaknya napas mikir","Netral"
0,"harga cabe bawang merah","Netral"
0,"bilaaa silahkan jual cabe pasar harga cabe naiknya mayan ongkos","Netral"
1,"depok sebelah daerah pakai cabe beneran harganya kebaikan harga cabe","Positif"
0,"pas bicara harga cabe pedes","Netral"
0,"mie buatan mu mahal harga cabe banget","Netral"
